All songs with albums
Beautiful Day                                      | 18 Singles          
Desire                                             | 18 Singles          
Elevation                                          | 18 Singles          
I Still Haven't Found What I'm Looking For         | 18 Singles          
I Will Follow                                      | 18 Singles          
Mysterious Ways                                    | 18 Singles          
New Year's Day                                     | 18 Singles          
One                                                | 18 Singles          
Pride (In The Name Of Love)                        | 18 Singles          
Sometimes You Can't Make It On Your Own            | 18 Singles          
Stuck In A Moment You Can't Get Out Of             | 18 Singles          
Sunday Bloody Sunday                               | 18 Singles          
Sweetest Thing                                     | 18 Singles          
The Saints Are Coming                              | 18 Singles          
Vertigo                                            | 18 Singles          
Walk On                                            | 18 Singles          
Where The Streets Have No Name                     | 18 Singles          
Window In The Skies                                | 18 Singles          
With Or Without You                                | 18 Singles          
Drop dead legs                                     | 1984                
Girl gone bad                                      | 1984                
Hot for teacher                                    | 1984                
House of pain                                      | 1984                
I'll wait                                          | 1984                
Jump                                               | 1984                
Panama                                             | 1984                
Top Jimmy                                          | 1984                
(Only) The Dead Dreams of the Cold War kid         | 25 Years On         
Automoton                                          | 25 Years On         
Death Trap (single mix)                            | 25 Years On         
Flying Doctor                                      | 25 Years On         
Freefall                                           | 25 Years On         
PSI Power                                          | 25 Years On         
PSI Power (single version)                         | 25 Years On         
The Age of the Micro man                           | 25 Years On         
The Only Ones                                      | 25 Years On         
Break it up                                        | 4                   
Don't let go                                       | 4                   
Girl on the moon                                   | 4                   
I'm gonna win                                      | 4                   
Juke box hero                                      | 4                   
Luanne                                             | 4                   
Night life                                         | 4                   
Urgent                                             | 4                   
Waiting for a girl like You                        | 4                   
Woman in black                                     | 4                   
A Saucerful Of Secrets (1992 Digital Remaster)     | A Saucerful Of Secrets
Corporal Clegg (1992 Digital Remaster)             | A Saucerful Of Secrets
Jugband Blues (1992 Digital Remaster)              | A Saucerful Of Secrets
Let There Be More Light (1992 Digital Remaster)    | A Saucerful Of Secrets
Remember A Day (1992 Digital Remaster)             | A Saucerful Of Secrets
See Saw (1992 Digital Remaster)                    | A Saucerful Of Secrets
Set The Controls For The Heart Of The Sun (1992 Digital | A Saucerful Of Secrets
A Trick Of The Tail                                | A Trick Of The Tail 
Dance On A Volcano                                 | A Trick Of The Tail 
Entangled                                          | A Trick Of The Tail 
Los Endos                                          | A Trick Of The Tail 
Mad Man Moon                                       | A Trick Of The Tail 
Ripples ...                                        | A Trick Of The Tail 
Robbery Assault And Battery                        | A Trick Of The Tail 
Squonk                                             | A Trick Of The Tail 
Dream On                                           | Aerosmith           
Make It                                            | Aerosmith           
Mama Kin                                           | Aerosmith           
Movin' Out                                         | Aerosmith           
One Way Street                                     | Aerosmith           
Somebody                                           | Aerosmith           
Walkin' The Dog                                    | Aerosmith           
Write Me                                           | Aerosmith           
Abul Hagag                                         | Afterswish          
Afterswish                                         | Afterswish          
Chinatype                                          | Afterswish          
Fetch Me The Pongmaster                            | Afterswish          
Floating Seeds                                     | Afterswish          
Guzzard                                            | Afterswish          
Invisible Carpet                                   | Afterswish          
